PRENOTAZIONE_MUDE|PRENOTAZIONE_DATA|CONF_PRENOTAZIONE_MUDE|CONF_PRENOTAZIONE_DATA|RICHIESTA_MUDE|DESC_STATO_ISTANZA|RICHIESTA_DATA|RICHIESTA_COMUNE|LIVELLO_OPERATIVO|TIPO_INTERVENTO|CONTIENE_RURALE_STRUMENTALE|CONCESSIONE_CUP|CONCESSIONE_DATA|SAL_ZERO_MUDE|SAL_ZERO_DATA|SAL_INIZIALE_MUDE|SAL_INIZIALE_DATA|SAL_INT_1_MUDE|SAL_INT_1_DATA|SAL_INT_2_MUDE|SAL_INT_2_DATA|SAL_FINALE_MUDE|SAL_FINALE_DATA|SOL_UNICA_MUDE|SOL_UNICA_DATA|FINE_LAVORI_DATA|GEO_LON|GEO_LAT|GEO_CON
||||0803600100000026162013|ACCETTATA DA PA|03/04/2013|BASTIGLIA|B/C|DIRETTO|NO|G57J13000030001|08/05/2013|||||||||||0803600100000047412013|22/05/2013||11,0004058647901|44,7264125785259|0
||||0803600100000029792013|ACCETTATA DA PA|10/04/2013|BASTIGLIA|B/C|DIRETTO|NO|G57J13000040008|21/05/2013|||||||||||0803600100000073542013|24/07/2013||11,0085792086223|44,7269807434534|0
||||0803600100000045462013|ACCETTATA DA PA|30/07/2013|BASTIGLIA|B/C|DIRETTO|NO||||||||||||||||10,9994601938069|44,7215745468828|0
||||0803600100000048812013|ACCETTATA DA PA|12/06/2013|BASTIGLIA|B/C|DIRETTO|NO|G52F13000030001|01/07/2013|||||||||||0803600100000115322013|16/12/2013||10,9957313227001|44,7152052934641|0
||||0803600100000058962013|ACCETTATA DA PA|04/07/2013|BASTIGLIA|B/C|DIRETTO|NO|G52F13000040008|29/08/2013|||0803600100000282072014|11/04/2014|||||0803600100000300182014|13/05/2014||||11,0085792086223|44,7269807434534|0
||||0803600100000105002013|ACCETTATA DA PA|29/11/2013|BASTIGLIA|B/C|DIRETTO|NO|G52F14000000001|15/01/2014|||||||||||0803600100000192802014|10/02/2014||10,9994601938069|44,7215745468828|0
||||0803700600000015002013|ACCETTATA DA PA|04/11/2013|BOLOGNA|B/C|DIRETTO|NO|F32F13001060001|18/12/2013|||0803700600000174862014|22/01/2014|||||0803700600000263132014|19/05/2014||||11,2753814344904|44,5243021592139|0
||||0803700600000104002013|ACCETTATA DA PA|04/11/2013|BOLOGNA|B/C|DIRETTO|NO|F32F13001050001|18/12/2013|||0803700600000174742014|22/01/2014|||||0803700600000263112014|19/05/2014||||11,2753814344904|44,5243021592139|0
||||0803600200000001322012|ACCETTATA DA PA|11/10/2012|BOMPORTO|B/C|DIRETTO|NO|H67J12000000001|06/11/2012|||||||||||0803600200000016362013|27/02/2013||11,0219840796333|44,7433248038917|0
||||0803600200000003962012|ACCETTATA DA PA|16/11/2012|BOMPORTO|B/C|DIRETTO|NO|H67J12000020001|28/11/2012|||||||||||0803600200000016802013|01/02/2013||11,0085580979377|44,7526053510011|0
||||0803600200000007272012|ACCETTATA DA PA|24/01/2013|BOMPORTO|B/C|DIRETTO|NO|H67J13000060008|25/03/2013|||||||||||0803600200000098262013|10/10/2013||11,0854241840029|44,7723594557503|0
||||0803600200000007702012|ACCETTATA DA PA|14/01/2013|BOMPORTO|B/C|DIRETTO|NO|H67J13000050008|04/03/2013|||||||||||0803600200000035642013|05/04/2013||11,0406377213303|44,7260560941377|0
||||0803600200000008932012|ACCETTATA DA PA|21/03/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000060008|06/06/2013|||0803600200000097042013|01/10/2013|||||0803600200000255792014|14/07/2014||||11,0036107609727|44,7510082751554|0
||||0803600200000009882012|ACCETTATA DA PA|01/07/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000090001|02/08/2013|||0803600200000144452013|11/12/2013|||||0803600200000233342014|13/02/2014||||11,0976483908436|44,7728336043202|0
||||0803600200000014192013|ACCETTATA DA PA|09/02/2013|BOMPORTO|B/C|DIRETTO|NO|H67J13000080008|03/04/2013|||||||||||0803600200000101892013|10/10/2013||11,1029781|44,7828692|999
||||0803600200000014462013|ACCETTATA DA PA|16/09/2013|BOMPORTO|B/C|DIRETTO|NO|H61G14000070008|10/05/2014|0803600200000312252014|20/05/2014|0803600200000367802014|06/09/2014|||||0803600200000531932015|15/09/2015||||11,0778040914837|44,7865173709711|0
||||0803600200000029992013|ACCETTATA DA PA|06/05/2013|BOMPORTO|B/C|DIRETTO|NO||||||||||||||||11,0854241840029|44,7723594557503|0
||||0803600200000030272013|ACCETTATA DA PA|06/04/2013|BOMPORTO|B/C|DIRETTO|NO|H67J13000090008|31/05/2013|||||||||||0803600200000059962013|07/08/2013||11,0930942093948|44,7726850741474|0
||||0803600200000047562013|ACCETTATA DA PA|17/06/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000130008|13/09/2013|||0803600200000330462014|04/08/2014|||||0803600200000393592014|16/12/2014||||11,011318513248|44,7386310897979|0
||||0803600200000050662013|ACCETTATA DA PA|06/06/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000080001|29/07/2013|||||||||||0803600200000158302013|05/02/2014||11,0854241840029|44,7723594557503|0
||||0803600200000057012013|ACCETTATA DA PA|18/06/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000070008|13/07/2013|||||||||||0803600200000152712013|07/01/2014||11,0656709278177|44,766132051637|0
||||0803600200000058642013|ACCETTATA DA PA|26/06/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000110008|28/08/2013|||||||||||0803600200000149422013|20/12/2013||11,0477938289515|44,7523666643321|0
||||0803600200000061072013|ACCETTATA DA PA|18/06/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000100008|09/08/2013|||||||||||0803600200000155822013|31/03/2014||11,0854241840029|44,7723594557503|0
||||0803600200000068172013|ACCETTATA DA PA|02/07/2013|BOMPORTO|B/C|DIRETTO|NO|H61G14000000008|18/03/2014|||||||||||0803600200000312532014|20/05/2014||11,0976483908436|44,7728336043202|0
||||0803600200000069112013|ACCETTATA DA PA|13/07/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000120008|13/09/2013|||||||||||0803600200000370922014|20/09/2014||11,0140959435159|44,7524861387005|0
||||0803600200000069442013|ACCETTATA DA PA|10/08/2013|BOMPORTO|B/C|DIRETTO|NO|H62F13000140008|23/10/2013|||0803600200000245462014|01/03/2014|||||0803600200000385132014|20/10/2014||||11,0863532432273|44,7796082390387|0
||||0803600200000069622013|ACCETTATA DA PA|25/07/2013|BOMPORTO|B/C|DIRETTO|NO|H61G14000030008|26/03/2014|0803600200000281772014|08/04/2014|0803600200000332532014|02/09/2014|||||0803600200000499472015|05/06/2015||||11,0346587439175|44,7305537915891|0
||||0803600200000112922013|ACCETTATA DA PA|16/12/2013|BOMPORTO|B/C|DIRETTO|NO|H65C14000040008|06/09/2014|||||||||||0803600200000483102015|02/10/2015||11,011318513248|44,7386310897979|0
||||0803800300000001612012|ACCETTATA DA PA|17/12/2012|BONDENO|B/C|DIRETTO|NO|C27J12000140001|17/12/2012|||||||||||0803800300000043302013|30/05/2013||11,42428|44,885235|999
||||0803800300000001872012|ACCETTATA DA PA|29/10/2012|BONDENO|B/C|DIRETTO|NO|C27J12000100001|05/12/2012|||||||||||0803800300000033702013|27/03/2013||11,3543206338989|44,9120831578219|0
||||0803800300000002422012|ACCETTATA DA PA|26/11/2012|BONDENO|B/C|DIRETTO|NO|C27J12000120001|17/12/2012|||||||||||0803800300000015132013|29/01/2013||11,4527199663785|44,9226399982965|0,1
||||0803800300000002562012|ACCETTATA DA PA|17/12/2012|BONDENO|B/C|DIRETTO|NO|C27J12000130001|17/12/2012|||||||||||0803800300000015562013|15/04/2013||11,4626576|44,8331127|999
||||0803800300000002962012|ACCETTATA DA PA|22/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000070008|18/03/2013|||||||||||0803800300000041782013|05/06/2013||11,4626492|44,8331132|999
||||0803800300000003082012|ACCETTATA DA PA|17/12/2012|BONDENO|B/C|DIRETTO|NO|C27J12000160001|17/12/2012|||0803800300000036202013|02/05/2013|||||0803800300000125372013|19/02/2014||||11,3124560286195|44,9437802774563|0
||||0803800300000003772012|ACCETTATA DA PA|10/04/2013|BONDENO|B/C|DIRETTO|NO|C27J13000170008|16/04/2013|||||||||||0803800300000042802013|14/05/2013||11,3124560286195|44,9437802774563|0,5
||||0803800300000004222012|ACCETTATA DA PA|18/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000000001|24/01/2013|||||||||||0803800300000016242013|26/03/2013||11,3940506716104|44,896088678105|0
||||0803800300000004252012|ACCETTATA DA PA|22/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000090001|18/03/2013|||||||||||0803800300000022432013|29/05/2013||11,3789068456247|44,8399916661193|0
||||0803800300000005262012|ACCETTATA DA PA|21/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000030001|04/03/2013|||||||||||0803800300000030752013|30/05/2013||11,3124560286195|44,9437802774563|0
||||0803800300000005492012|ACCETTATA DA PA|17/12/2012|BONDENO|B/C|DIRETTO|NO|C27J12000150001|17/12/2012|||||||||||0803800300000023392013|16/04/2013||11,4031881880632|44,894567631669|0
||||0803800300000005712012|ACCETTATA DA PA|29/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000080001|18/03/2013|||||||||||0803800300000034682013|23/04/2013||11,427939284221|44,8809963674922|0
||||0803800300000007522012|ACCETTATA DA PA|17/12/2012|BONDENO|B/C|DIRETTO|NO|C27J12000110001|17/12/2012|||||||||||0803800300000016612013|26/03/2013||11,398559|44,8710941|999
||||0803800300000007772012|ACCETTATA DA PA|17/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000290008|22/07/2013|||0803800300000237782014|18/03/2014|||||0803800300000321422014|18/07/2014||||11,4423786453924|44,8679430846905|0,4
||||0803800300000007782012|ACCETTATA DA PA|09/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000650008|04/10/2013|||0803800300000238562014|11/03/2014|||||0803800300000322872014|17/06/2014||||11,3543206338989|44,9120831578219|0
||||0803800300000008272012|ACCETTATA DA PA|14/03/2013|BONDENO|B/C|DIRETTO|NO|C27J13000140008|05/04/2013|||0803800300000039902013|29/05/2013|||||0803800300000060342013|22/07/2013||||11,4423786453924|44,8679430846905|0
||||0803800300000008292012|ACCETTATA DA PA|21/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000120008|19/03/2013|||||||||||0803800300000035932013|29/04/2013||11,4222303726013|44,9452211286065|0
||||0803800300000008402012|ACCETTATA DA PA|15/04/2013|BONDENO|B/C|DIRETTO|NO|C27J13000200001|18/04/2013|||||||||||0803800300000042552013|22/07/2013||11,3124560286195|44,9437802774563|0,667
||||0803800300000010472012|ACCETTATA DA PA|31/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000100008|19/03/2013|||||||||||0803800300000037562013|03/05/2013||11,4423786453924|44,8679430846905|0,333
||||0803800300000011032012|ACCETTATA DA PA|21/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000110001|19/03/2013|||||||||||0803800300000035792013|18/04/2013||11,4626494|44,8331131|999
||||0803800300000011462012|ACCETTATA DA PA|12/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000130001|20/03/2013|||||||||||0803800300000038372013|29/04/2013||11,4064336762129|44,8867767181575|0
||||0803800300000013152013|ACCETTATA DA PA|25/11/2013|BONDENO|B/C|DIRETTO|NO|C22F13001030001|20/12/2013|0803800300000308692014|12/05/2014|0803800300000390152014|07/10/2014|||||0803800300000527782015|21/05/2015||||11,4170120606289|44,8873322827625|0
||||0803800300000013642013|ACCETTATA DA PA|19/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000150008|08/04/2013|||||||||||0803800300000047762013|03/06/2013||11,415901963569|44,8846975725991|0
||||0803800300000014132013|ACCETTATA DA PA|10/04/2013|BONDENO|B/C|DIRETTO|NO|C27J13000190008|18/04/2013|||||||||||0803800300000049582013|05/06/2013||11,3124560286195|44,9437802774563|0
||||0803800300000014332013|ACCETTATA DA PA|13/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000060008|13/06/2013|||||||||||0803800300000232012014|11/03/2014||11,4140352579565|44,8850570257006|0
||||0803800300000016392013|ACCETTATA DA PA|29/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000360001|31/07/2013|||||||||||0803800300000084472013|26/08/2013||11,4140352579565|44,8850570257006|0
||||0803800300000016922013|ACCETTATA DA PA|29/01/2013|BONDENO|B/C|DIRETTO|NO|C27J13000050008|05/03/2013|||||||||||0803800300000029062013|19/04/2013||11,4527199663785|44,9226399982965|0,1
||||0803800300000017852013|ACCETTATA DA PA|26/02/2013|BONDENO|B/C|DIRETTO|NO|C27J13000040001|05/03/2013|||||||||||0803800300000034192013|30/05/2013||11,4305406321195|44,8915204418065|0
||||0803800300000018302013|ACCETTATA DA PA|12/03/2013|BONDENO|B/C|DIRETTO|NO|C27J13000160008|12/04/2013|||0803800300000093452013|16/09/2013|||||0803800300000124962013|22/11/2013||||11,4152665872103|44,886472441844|0
||||0803800300000018442013|ACCETTATA DA PA|31/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000350008|30/07/2013|||0803800300000233542014|20/02/2014|||||0803800300000308532014|04/07/2014||||11,3124560286195|44,9437802774563|0,5
||||0803800300000019682013|ACCETTATA DA PA|07/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000070001|13/06/2013|||||||||||0803800300000069712013|23/07/2013||11,4162585009944|44,8856665811108|0,6
||||0803800300000019702013|ACCETTATA DA PA|03/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000500008|05/09/2013|||0803800300000095872013|24/10/2013|||||0803800300000230552014|03/04/2014||||11,4165641|44,8819801|999
||||0803800300000020742013|ACCETTATA DA PA|20/03/2013|BONDENO|B/C|DIRETTO|NO|C27J13000300001|28/05/2013|||||||||||0803800300000060442013|05/07/2013||11,4423786453924|44,8679430846905|0,333
||||0803800300000021102013|ACCETTATA DA PA|23/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000640008|02/10/2013|||||||||||0803800300000119442013|18/11/2013||11,3984378649586|44,9117227753046|0,4
||||0803800300000021172013|ACCETTATA DA PA|29/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000380001|31/07/2013|||||||||||0803800300000090622013|16/09/2013||11,451345177935|44,8685668047231|0
||||0803800300000022272013|ACCETTATA DA PA|17/05/2013|BONDENO|B/C|DIRETTO|NO|C27J13000280008|22/05/2013|||0803800300000151802013|13/01/2014|||||0803800300000248252014|13/03/2014||||11,3124560286195|44,9437802774563|0
||||0803800300000022962013|ACCETTATA DA PA|03/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000200008|09/07/2013|||||||||||0803800300000104352013|11/10/2013||11,3124560286195|44,9437802774563|0
||||0803800300000023612013|ACCETTATA DA PA|19/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000300001|24/07/2013|||||||||||0803800300000258312014|11/04/2014||11,4222303726013|44,9452211286065|0
||||0803800300000024602013|ACCETTATA DA PA|07/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000660008|07/10/2013|||||||||||0803800300000135242013|04/12/2013||11,4188668979117|44,8805499822807|0
||||0803800300000024642013|ACCETTATA DA PA|28/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000260008|15/07/2013|||||||||||0803800300000081522013|20/08/2013||11,4165641|44,8819801|999
||||0803800300000025912013|ACCETTATA DA PA|26/04/2013|BONDENO|B/C|DIRETTO|NO|C27J13000230001|02/05/2013|||||||||||0803800300000071812013|24/07/2013||11,3274828666904|44,8802637840461|0,333
||||0803800300000025962013|ACCETTATA DA PA|25/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000250008|15/07/2013|||||||||||0803800300000076102013|25/07/2013||11,3984378649586|44,9117227753046|0
||||0803800300000026372013|ACCETTATA DA PA|18/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000120008|25/06/2013|||0803800300000085182013|12/09/2013|||||0803800300000103922013|14/10/2013||||11,3124560286195|44,9437802774563|0,5
||||0803800300000026682013|ACCETTATA DA PA|04/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000180001|05/07/2013|||||||||||0803800300000073362013|19/07/2013||11,3418908916923|44,8729294127048|0
||||0803800300000028002013|ACCETTATA DA PA|15/05/2013|BONDENO|B/C|DIRETTO|NO|C27J13000260001|17/05/2013|||||||||||0803800300000071372013|18/07/2013||11,3659045804866|44,8654866393299|0
||||0803800300000028442013|ACCETTATA DA PA|30/10/2013|BONDENO|B/C|DIRETTO|NO|C22F13000900001|25/11/2013|||||||||||0803800300000239232014|20/06/2014||11,4169012098194|44,8854042884157|0
||||0803800300000028502013|ACCETTATA DA PA|03/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000610001|30/09/2013|||||||||||0803800300000153182013|27/01/2014||11,4202158333546|44,8869571607575|0
||||0803800300000028692013|ACCETTATA DA PA|25/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000090008|14/06/2013|||0803800300000068122013|19/07/2013|||||0803800300000248442014|20/03/2014||||11,3121378410392|44,9547131995555|0
||||0803800300000029142013|ACCETTATA DA PA|03/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000240001|15/07/2013|||||||||||0803800300000084632013|20/08/2013||11,3902537481406|44,8659669478702|0
||||0803800300000029152013|ACCETTATA DA PA|13/05/2013|BONDENO|B/C|DIRETTO|NO|C27J13000250001|17/05/2013|||||||||||0803800300000082472013|26/08/2013||11,3543206338989|44,9120831578219|0
||||0803800300000029682013|ACCETTATA DA PA|13/03/2014|BONDENO|B/C|DIRETTO|NO|C21G14000230008|30/04/2014|||||||||||0803800300000308892014|21/05/2014||11,2685471952255|44,9371003322455|0
||||0803800300000030322013|ACCETTATA DA PA|03/10/2013|BONDENO|B/C|DIRETTO|NO|C22F13000720001|14/10/2013|||||||||||0803800300000119612013|11/11/2013||11,392054733591|44,8958295511245|0
||||0803800300000031372013|ACCETTATA DA PA|04/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000050008|04/06/2013|||||||||||0803800300000075422013|23/07/2013||11,2922608891935|44,9434541874684|0
||||0803800300000031592013|ACCETTATA DA PA|29/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000340008|29/07/2013|||||||||||0803800300000179462014|18/02/2014||11,3743721801649|44,9347006733125|0
||||0803800300000032002013|ACCETTATA DA PA|07/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000390008|07/08/2013|||||||||||0803800300000087392013|05/09/2013||11,4194821223046|44,8849389797227|0,333
||||0803800300000032022013|ACCETTATA DA PA|01/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000160008|04/07/2013|||||||||||0803800300000249832014|17/03/2014||11,3124560286195|44,9437802774563|0
||||0803800300000032062013|ACCETTATA DA PA|25/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000130008|25/06/2013|||||||||||0803800300000274062014|17/04/2014||11,4140352579565|44,8850570257006|0
||||0803800300000032702013|ACCETTATA DA PA|29/10/2015|BONDENO|B/C|DIRETTO|NO|C25C16000190001|14/03/2016||||||||||||||11,2875385296058|44,9158734955918|0
||||0803800300000033622013|ACCETTATA DA PA|05/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000410001|07/08/2013|||0803800300000103902013|15/10/2013|||||0803800300000118602013|18/11/2013||||11,3543206338989|44,9120831578219|0
||||0803800300000034082013|ACCETTATA DA PA|16/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000270001|18/07/2013|||||||||||0803800300000080742013|05/08/2013||11,3124560286195|44,9437802774563|0,333
||||0803800300000034262013|ACCETTATA DA PA|28/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000480008|29/08/2013|||0803800300000091872013|17/09/2013|||||0803800300000372902014|10/09/2014||||11,4152665872103|44,886472441844|0
||||0803800300000034342013|ACCETTATA DA PA|13/12/2013|BONDENO|B/C|DIRETTO|NO|C21G14000340001|27/05/2014|||||||||||0803800300000368612014|16/12/2014||11,4170120606289|44,8873322827625|0
||||0803800300000034902013|ACCETTATA DA PA|08/10/2013|BONDENO|B/C|DIRETTO|NO|C21G14000060008|04/03/2014|||||||||||0803800300000412732014|18/12/2014||11,346599085087|44,9443624541168|0
||||0803800300000036172013|ACCETTATA DA PA|27/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000190008|09/07/2013|||||||||||0803800300000256562014|21/03/2014||11,3418908916923|44,8729294127048|0,2
||||0803800300000036482013|ACCETTATA DA PA|03/06/2013|BONDENO|B/C|DIRETTO|NO|C22F13000040008|04/06/2013|||||||||||0803800300000070872013|18/07/2013||11,3418908916923|44,8729294127048|0
||||0803800300000042142013|ACCETTATA DA PA|11/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000750008|24/10/2013|0803800300000291192014|14/05/2014|||||||||0803800300000408662014|18/12/2014||11,4519420793249|44,8939362615686|0,433
||||0803800300000042372013|ACCETTATA DA PA|02/10/2013|BONDENO|B/C|DIRETTO|NO|C22F13000680008|09/10/2013|||||||||||0803800300000123122013|02/12/2013||11,3902537481406|44,8659669478702|0
||||0803800300000043312013|ACCETTATA DA PA|16/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000370008|31/07/2013|||0803800300000087522013|10/09/2013|||||0803800300000125532013|25/11/2013||||11,3544343269102|44,8746510430868|0
||||0803800300000043332013|ACCETTATA DA PA|17/05/2013|BONDENO|B/C|DIRETTO|NO|C27J13000270001|17/05/2013|||||||||||0803800300000083122013|14/08/2013||11,3124560286195|44,9437802774563|0
||||0803800300000043652013|ACCETTATA DA PA|16/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000630001|02/10/2013|||||||||||0803800300000248052014|18/03/2014||11,4305389103384|44,8933841020322|1,75
||||0803800300000044242013|ACCETTATA DA PA|13/05/2013|BONDENO|B/C|DIRETTO|NO|C27J13000240008|15/05/2013|||||||||||0803800300000057252013|01/07/2013||11,4303204|44,8819971|999
||||0803800300000046652013|ACCETTATA DA PA|01/07/2013|BONDENO|B/C|DIRETTO|NO|C22F13000150001|02/07/2013|||||||||||0803800300000073062013|18/07/2013||10,8201573|44,9586453|999
||||0803800300000048472013|ACCETTATA DA PA|19/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000690008|10/10/2013|||||||||||0803800300000326132014|04/07/2014||11,3743721801649|44,9347006733125|0
||||0803800300000049392013|ACCETTATA DA PA|08/10/2013|BONDENO|B/C|DIRETTO|NO|C22F13000620008|02/10/2013|||0803800300000255972014|07/04/2014|||||0803800300000292672014|13/06/2014||||11,3124560286195|44,9437802774563|0,667
||||0803800300000049992013|ACCETTATA DA PA|10/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000540008|19/09/2013|||||||||||0803800300000305122014|12/05/2014||11,3743721801649|44,9347006733125|0
||||0803800300000050222013|ACCETTATA DA PA|04/10/2013|BONDENO|B/C|DIRETTO|NO|C22F13000800001|04/11/2013|||||||||||0803800300000128792013|13/12/2013||11,427939284221|44,8809963674922|0,333
||||0803800300000050942013|ACCETTATA DA PA|16/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000460008|22/08/2013|||0803800300000265812014|11/04/2014|||||0803800300000342152014|17/07/2014||||11,3806580612364|44,9526450548828|0
||||0803800300000051272013|ACCETTATA DA PA|19/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000580001|23/09/2013|||||||||||0803800300000113422013|13/11/2013||11,4298584|44,8834001|999
||||0803800300000052002013|ACCETTATA DA PA|14/11/2013|BONDENO|B/C|DIRETTO|NO|C22F13000970008|09/12/2013|||0803800300000316242014|09/06/2014|||||0803800300000414092014|15/12/2014||||11,3275990212678|44,8782749322763|0
||||0803800300000052302013|ACCETTATA DA PA|11/09/2013|BONDENO|B/C|DIRETTO|NO|C22F13000560008|20/09/2013|||0803800300000250432014|20/03/2014|||||0803800300000350442014|22/07/2014||||11,4169012098194|44,8854042884157|0
||||0803800300000054182013|ACCETTATA DA PA|21/08/2013|BONDENO|B/C|DIRETTO|NO|C22F13000450008|22/08/2013|||||||||||0803800300000092812013|10/09/2013||11,3418908916923|44,8729294127048|0
||||0803800300000054882013|ACCETTATA DA PA|20/02/2014|BONDENO|B/C|DIRETTO|NO|C21G14000080008|05/03/2014|||||||||||0803800300000285742014|28/04/2014||11,424187|44,885328|999
